Name,Product Name,Sales,Date
Preeti,Laptop,857.3,2025-01-07
Shyam,Laptop,932.31,2024-10-05
Sara,Laptop,317.09,2025-05-12
Sara,Phone,193.83,2025-04-08
Anita,TV,978.53,2025-06-13
Anita,Laptop,910.49,2024-12-15
Shyam,TV,586.64,2025-06-17
Rahul,Laptop,967.34,2025-06-04
Preeti,Laptop,310.53,2025-03-04
Preeti,Phone,676.56,2025-07-31
Rahul,TV,937.02,2025-04-15
John,Phone,260.72,2024-09-09
Sara,Laptop,848.23,2024-10-08
Anita,Phone,560.19,2025-03-11
Rahul,Phone,195.99,2024-12-18
Shyam,Phone,495.66,2025-01-17
Rahul,TV,762.89,2024-10-04
Anita,TV,583.76,2025-03-24
Shyam,TV,103.84,2025-08-15
Rahul,Laptop,264.01,2024-09-12
Rahul,Laptop,607.28,2024-10-26
Sara,TV,511.97,2024-10-15
Rahul,TV,302.34,2025-01-11
Preeti,TV,899.87,2024-09-15
Sara,TV,176.57,2024-09-22
Preeti,Laptop,431.03,2024-12-29
Sara,Laptop,149.97,2024-11-01
Sara,Laptop,562.54,2025-04-09
Preeti,Phone,348.13,2025-06-24
Shyam,Phone,803.97,2025-01-18
Rahul,TV,526.31,2025-02-20
Rahul,Laptop,595.02,2024-10-31
Preeti,TV,917.29,2024-10-12
Rahul,Phone,868.27,2024-09-26
Shyam,Phone,497.18,2025-04-03
Shyam,Phone,606.33,2025-05-27
Anita,Laptop,672.61,2025-08-25
Preeti,Laptop,640.72,2025-04-26
Shyam,Phone,191.34,2025-04-01
Preeti,Laptop,298.59,2025-03-29
Shyam,TV,820.22,2025-02-21
John,Phone,490.82,2025-03-23
Anita,Phone,974.83,2025-03-14
Sara,Laptop,329.61,2025-06-04
Sara,Laptop,981.87,2025-04-07
John,TV,909.38,2024-10-17
John,Laptop,150.63,2024-12-06
Rahul,Laptop,328.15,2025-03-26
John,Laptop,935.2,2025-02-24
Sara,TV,375.5,2025-07-03
